c1ccc2c(c1)c(c[nH]2)CCN(C(=O)CN3C(=O)c4ccccc4C3=O)C5(CCCC5)C(=O)NCc6cccnc6,ORD-MCULE-9783175038_1
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N3CC[NH+](CC3)C(c4ccccc4)c5ccccc5)Cc6ccccc6Cl,ORD-MCULE-5585700293_1
Cc1cc2c(c(c1)OCC(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)[O-])c5c(c(=O)o2)CCCC5,ORD-MCULE-9245926172_1
CSc1cccc(c1)C[NH2+][C@H]2C[C@H]3C(=O)N[C@H](C(=O)N3C2)Cc4c[nH]c5c4cccc5,ORD-MCULE-3085272845_1
CC(C)N(CC(=O)N(CCc1c[nH]c2c1cccc2)Cc3ccc(cc3)C(F)(F)F)C(=O)c4ccc(cc4)Cl,ORD-MCULE-5548550848_1
CCCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1Cc2c3ccccc3[nH]c2-c4n1c(c5c4cccc5)O,ORD-MCULE-3907045269_1
c1ccc(c(c1)c2nccc(n2)C[C@H]3[C@@H](C[C@H]([C@@H]3CO)O)[NH2+]Cc4ccccn4)F,ORD-MCULE-6582603859_1
COCCN(CC(=O)N(CCc1c[nH]c2c1cccc2)Cc3ccc(cc3)F)C(=O)C(c4ccccc4)c5ccccc5,ORD-MCULE-3807685501_1
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)C[NH+]3CCN(CC3)c4ccc(cc4)F)Cc5cccc6c5cccc6,ORD-MCULE-9488978359_1
c1cc(cc(c1)NC(=O)[C@@H]2C[C@@H](C[NH2+]2)n3cc(nn3)C(=O)[O-])c4c[nH]cn4,ORD-MCULE-3154191567_2
c1cc(cc(c1)NC(=O)[C@@H]2C[C@@H](C[NH2+]2)n3cc(nn3)C(=O)[O-])c4cnc[nH]4,ORD-MCULE-3154191567_1
c1cc2c(cc1F)[nH]c(n2)CCCNC(=O)[C@@H]3[C@H]4C[C@@H]([C@@H]3[NH3+])C=C4,ORD-MCULE-5748141679_1
CC(C)N(CC(=O)N(CCc1c[nH]c2c1cccc2)Cc3ccc(c(c3)Cl)Cl)C(=O)c4cccc(c4)F,ORD-MCULE-1618528086_1
CC(C)n1cc-2c(=O)n(nc2c(c1)C(=O)N3CC[NH+](CC3)CC(=O)c4ccccc4)c5ccccc5,ORD-MCULE-1648457515_1
CC(C)(C(=O)NCc1cccnc1)N(CCc2c[nH]c3c2cccc3)C(=O)CN4C(=O)c5ccccc5C4=O,ORD-MCULE-7417877474_1
Cc1cccn2c1nc3c(c2=O)cc(c(=[NH2+])n3Cc4ccc(cc4)F)C(=O)NCCc5ccc(cc5)OC,ORD-MCULE-6111267788_1
Cc1cccc(c1)C[NH+]2CCN(CC2)c3nc4c(n3Cc5cccc6c5cccc6)c(=O)[nH]c(=O)n4C,ORD-MCULE-9311937068_1
Cc1ccc(cc1)C[NH+]2CCN(CC2)c3nc4c(n3Cc5cccc6c5cccc6)c(=O)[nH]c(=O)n4C,ORD-MCULE-8959718627_1
Cc1ccc(cc1)CN(CCc2c[nH]c3c2cccc3)C(=O)CN(C4CC4)C(=O)Nc5ccc(cc5)C(C)C,ORD-MCULE-4289059609_1
c1ccc(c(c1)C[NH+]2CCC3(CC2)c4ccccc4[C@H]([C@@H]3O)[NH3+])OCC(=O)[O-],ORD-MCULE-4904089083_1
c1ccc2c(c1)C[NH+](C2)CC(=O)N3C[C@@H]([C@@H](C3)c4cn[nH]n4)CC(=O)[O-],ORD-MCULE-6465519488_1
c1ccc2c(c1)c(c[nH]2)CCC(=O)N3CCC[C@H]4[C@@H]3CCN(C4)C(=O)c5ccc(cc5)F,ORD-MCULE-8302715657_1
c1ccc2c(c1)c(c([nH]2)c3ccc(cc3)F)CCC(=O)N4CC[NH+](CC4)CC(=O)N5CCCCC5,ORD-MCULE-6805927393_1
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N3CC[NH+](CC3)CCCc4ccccc4)Cc5cccc(c5)Cl,ORD-MCULE-9446460441_1
CCOC(=O)c1cc(n(c1C)CC(=O)N2CC[NH+](CC2)C(c3ccccc3)c4ccccc4)c5ccccc5,ORD-MCULE-1955508051_1
Cc1ccc(cc1N(=O)=O)C(=O)N(CC(=O)N(CCc2c[nH]c3c2cccc3)Cc4ccccc4)C5CC5,ORD-MCULE-8231855249_1
c1ccc(cc1)C[NH+]2CCN(CC2)C(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)c5cccs5,ORD-MCULE-1316421825_1
c1ccc(cc1)CCN(Cc2ccccc2)C(=O)Cn3c(c([nH]c3=O)Cc4c[nH]c5c4cccc5)[O-],ORD-MCULE-9081578996_1
c1ccc(cc1)c2ccc(cc2)C(=O)Nc3ccc(cc3)Oc4ccc(c(c4)C(=O)[O-])C(=O)[O-],ORD-MCULE-9272460254_1
c1ccc2c(c1)c(c[nH]2)CCN(Cc3ccc(cc3)Cl)C(=O)CN(C4CC4)C(=O)c5ccccc5Cl,ORD-MCULE-3622326493_1
c1ccc2c(c1)c(c([nH]2)c3ccc(cc3)F)CCC(=O)N4CC[NH+](CC4)CC(=O)N5CCCC5,ORD-MCULE-3657624205_1
c1ccc2c(c1)cccc2c3cc(c4ccccc4n3)C(=O)N5CC[NH+](CC5)Cc6ccc7c(c6)OCO7,ORD-MCULE-4959815000_1
c1ccc2c(c1)cccc2c3cc(c4ccccc4n3)C(=O)N5CC[NH+](CC5)Cc6ccc7c(c6)OCO7,ORD-MCULE-3696478799_1
Cn1c(=O)c(c[nH]c1=O)CC(=O)N2CCC3(CC2)c4ccccc4[C@H]([C@@H]3O)[NH3+],ORD-MCULE-5419104040_1
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N3CC[NH+](CC3)CCCc4ccccc4)Cc5ccc(cc5)F,ORD-MCULE-8321671531_1
Cc1cc([nH]c1C(=O)N2CCc3c(cc(c(=O)n3CC[NH+]4CCCCC4)c5cccc(c5)F)C2)C,ORD-MCULE-8927634984_1
Cc1ccc(cc1)C[NH+]2CCN(CC2)c3nc4c(n3Cc5cccc(c5)Cl)c(=O)[nH]c(=O)n4C,ORD-MCULE-6282049532_1
Cc1ccc(cc1)CN(CCc2c[nH]c3c2cccc3)C(=O)CN(C(C)C)C(=O)c4ccc5ccccc5c4,ORD-MCULE-3232933708_1
Cc1ccc(cc1)CN(CCc2c[nH]c3c2cccc3)C(=O)CN(C4CC4)C(=O)c5cccc6c5cccc6,ORD-MCULE-2519953694_1
Cc1ccc2c(c1)c(n[nH]2)C(=O)N3CCC4(CC3)c5ccccc5[C@H]([C@@H]4O)[NH3+],ORD-MCULE-4029878527_1
c1ccc(cc1)N2CCN(CC2)C(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)c5ccc(cc5)F,ORD-MCULE-1314415937_1
c1cc(c(cc1F)C[NH2+][C@H]2C[C@H]3C(=O)N[C@H](C(=O)N3C2)CCCC[NH3+])F,ORD-MCULE-1807800385_1
c1ccc(cc1)[C@@H]([C@@H](c2ccccc2)O)NC(=O)NC3[C@H]4[C@@H]3C[NH2+]C4,ORD-MCULE-3076850808_1
c1ccc(cc1)C[C@@H](c2[nH]c3ccccc3n2)NC(=O)c4ccccc4SCC(=O)NCC5CCCCC5,ORD-MCULE-5858157644_1
c1ccc2cc(ccc2c1)S(=O)(=O)[N@@]3CCC[N@](CC3)S(=O)(=O)c4ccc5ccccc5c4,ORD-MCULE-4262091783_1
c1ccc2c(c1)[C@H]([C@@H](C23CCN(CC3)C(=O)c4cc5c([nH]4)ccs5)O)[NH3+],ORD-MCULE-1278004987_1
c1ccc2c(c1)c(c[nH]2)CCNC(=O)Cn3c(=O)c4c(cn3)c5ccccc5n4Cc6ccc(cc6)F,ORD-MCULE-9678505215_1
c1ccc2c(c1)c(c[nH]2)CCN(Cc3ccc(cc3)Cl)C(=O)CN(C4CC4)C(=O)c5ccccc5F,ORD-MCULE-2191192499_1
c1ccc2c(c1)c(c([nH]2)c3ccc(cc3)F)CCC(=O)N4CC[NH+](CC4)CC(=O)NC5CC5,ORD-MCULE-3748698284_1
c1ccc2c(c1)c3ccccc3oc4cc(c(cc4o2)C(=O)Nc5cccc(c5)N(=O)=O)C(=O)[O-],ORD-MCULE-1114953351_1
COc1ccc(cc1)CCNC(=O)c2cc3c(nc4ccccn4c3=O)n(c2=[NH2+])Cc5ccc(cc5)F,ORD-MCULE-6887706487_1
COc1ccc(cc1)c2c(c3ccccc3[nH]2)CCC(=O)N4CC[NH+](CC4)CC(=O)N5CCOCC5,ORD-MCULE-3773841872_1
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N3CC[NH+](CC3)CCCc4ccccc4)Cc5ccccc5Cl,ORD-MCULE-6330321752_1
CCc1ccc(cc1)NC(=O)N(CC(=O)N(CCc2c[nH]c3c2cccc3)Cc4ccc(cc4)C)C5CC5,ORD-MCULE-5545975207_1
CCc1ccc(cc1)C(=O)N(CC(C)C)CC(=O)N(CCc2c[nH]c3c2cccc3)Cc4ccc(cc4)C,ORD-MCULE-3489359328_1
Cc1c(nc(o1)c2ccc(c3c2cccc3)OC)C[N@@]4C[C@@H]([C@H](C4)O)[NH+](C)C,ORD-MCULE-2861345508_1
Cc1c(c(c(o1)C)S(=O)(=O)N2CCN(CC2)C(=O)C(c3ccccc3)c4ccccc4)C(=O)OC,ORD-MCULE-4795289353_1
c1ccn2c(c1)[nH+]cc2CN3[C@H]4CCN([C@H]4CC3=O)C(=O)c5cccc6c5cc[nH]6,ORD-MCULE-9176948150_1
c1ccc(cc1)OP(=O)(NC(=O)OC[C@@H]2CCC[N@@H+]3[C@@H]2CCCC3)Oc4ccccc4,ORD-MCULE-4122169139_1
c1cc(ccc1c2c(c3cc(ccc3[nH]2)F)CCC(=O)N4CC[NH+](CC4)CC(=O)NC5CC5)F,ORD-MCULE-3182061958_1
c1ccc2c(c1)cc([nH]2)C(=O)N3CCC4(CC3)c5ccccc5[C@H]([C@@H]4O)[NH3+],ORD-MCULE-2501948372_1
c1ccc2c(c1)c(c[nH]2)C[N@@]3CCOC[C@H]3c4[nH]cc([nH+]4)c5cccc(c5)Cl,ORD-MCULE-2988500623_2
c1ccc2c(c1)c(c[nH]2)CCC(=O)N[C@@H](Cc3c[nH]c4c3cc(cc4)O)C(=O)[O-],ORD-MCULE-7064266566_1
COc1cccc(c1)N2CCN(CC2)C(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)c5cccs5,ORD-MCULE-5744155890_1
COc1cccc(c1)C[NH2+][C@H]2C[C@H]3C(=O)N[C@H](C(=O)N3C2)CCCC[NH3+],ORD-MCULE-3176737472_1
COc1ccc(cc1)CN(CCc2c[nH]c3c2cccc3)C(=O)CN(C4CC4)C(=O)c5cccc(c5)F,ORD-MCULE-3860138249_1
C[NH+](C)Cc1cn(nn1)C[C@H]2C[C@H]3CC[N@@H+]2C[C@@H]3C(=O)N4CCOCC4,ORD-MCULE-7793738682_1
C[N@@]1CC[N@@H+]2C[C@H](C[C@H]2C1)NC(=O)[C@H](Cc3cnc[nH]3)[NH3+],ORD-MCULE-6355969851_1
CCCN(CC(=O)N(CCc1c[nH]c2c1cccc2)Cc3ccc(cc3)C)C(=O)c4cccc5c4cccc5,ORD-MCULE-6912999917_1
Cc1c([nH]cn1)C[N@]2C[C@H]([C@@H]3[C@H]2C4CC[NH+]3CC4)c5cccc(c5)O,ORD-MCULE-6390908242_2
Cc1cc(=O)c(c(o1)c2c(nc([nH]2)c3ccc4c(c3)CCCN4C)c5ccc(cc5)OC)[O-],ORD-MCULE-4025103255_1
CC1(CC(CC([NH2+]1)(C)C)CC(=O)N2CCC(CC2)[NH+]3CCC(CC3)C(=O)[O-])C,ORD-MCULE-2022179599_1
Cc1ccc(c(c1C)O)c2cc([nH]n2)C(=O)Nc3ccc(cc3)S(=O)(=O)[N-]c4ncccn4,ORD-MCULE-3623090721_1
c1cc(oc1)c2ncc(cn2)C[NH2+]C34C[C@H]5C[C@@H](C3)CC(C5)(C4)n6ncnn6,ORD-MCULE-3922793613_1
c1cc(cnc1)C[NH2+][C@@H]2[C@H](CO[C@@H]2Cn3cc(nn3)C[NH+]4CCOCC4)O,ORD-MCULE-8323984723_1
c1cc(cc(c1)n2cnnc2)C(=O)N[C@H]3[C@H]4CCO[C@H]4[C@@H]3[NH+]5CCCC5,ORD-MCULE-5849358100_1
c1ccc(cc1)COc2c[nH]c(cc2=O)C(=O)Nc3ccc(cc3)S(=O)(=O)[N-]c4ncccn4,ORD-MCULE-3291335642_1
c1ccc(c(c1)Cn2c3ccccc3c4c2c(=O)n(nc4)CC(=O)NCCc5c[nH]c6c5cccc6)F,ORD-MCULE-7876431834_1
c1ccc(cc1)C[C@@H]([C@H](C[NH+]2CCC(CC2)c3c[nH]c4c3cccn4)O)[NH3+],ORD-MCULE-9824046398_1
c1ccc2c(c1)CC[N@]2CCCNC(=O)[C@@H]3C[C@@H](C[NH2+]C3)C(=O)N4CCCC4,ORD-MCULE-3192622124_1
c1cc2c(cc1C#N)c(c[nH]2)CCCC[NH+]3CCN(CC3)c4ccc5c(c4)cc(o5)C(=O)N,ORD-MCULE-4401910184_1
c1cc2c(cc1Cl)cc([nH]2)C(=O)N3CCC4(CC3)[C@@H](C[C@@H]4OCC[NH3+])O,ORD-MCULE-3838004698_1
COCc1nc(cc(n1)[C@H]2C[C@@H](C2)[NH3+])N3CC[NH+](CC3)Cc4nnc[nH]4,ORD-MCULE-5406098708_3
C[N@]1CC[N@@H+]2C[C@H](C[C@H]2C1)NC(=O)[C@H](Cc3c[nH]cn3)[NH3+],ORD-MCULE-6355969851_2
Cc1cc(=O)c(c(o1)c2c(nc([nH]2)c3c[nH]c4c3cccn4)c5cccc(c5)OC)[O-],ORD-MCULE-3284250018_1
Cc1cc(ccc1O)C(=O)N2C[C@@H](C[C@@H](C2)C(=O)[O-])C(=O)NCc3ccncc3,ORD-MCULE-9360131441_1
Cc1ccccc1C(=O)N(CC(C)C)CC(=O)N(CCc2c[nH]c3c2cccc3)Cc4ccc(cc4)Cl,ORD-MCULE-7282457473_1
c1ncc(nc1)C(=O)N2CCC(CC2)[NH2+][C@H]3C[C@@H](C3)c4nc[nH]c(=O)c4,ORD-MCULE-9550779458_1
c1cc([nH]c1)C(=O)N[C@H]2C[C@]3(CCCC[N@H+]3C2)C(=O)NCCc4cn[nH]n4,ORD-MCULE-5175696767_1
c1cc(cc(c1)n2c(ccc2O)O)C(=O)OCC(=O)COC(=O)c3cccc(c3)n4c(ccc4O)O,ORD-MCULE-5477836766_1
c1ccc(c(c1)CNC(=O)Cn2c(=O)n3c4ccccc4c(=O)n(c3n2)Cc5ccc(cc5)F)Cl,ORD-MCULE-1858936463_1
c1ccc2c(c1)c(n[nH]c2=O)C(=O)N3CCN(CC3)S(=O)(=O)c4ccc5c(c4)OCCO5,ORD-MCULE-8857503997_1
c1ccc2c(c1)cc([nH]2)C(=O)N3CC[C@@H]4[C@H](C3)CCC(=O)N4CCC[NH3+],ORD-MCULE-4740166979_1
c1ccc2c(c1)c(c[nH]2)C[N@]3CCOC[C@H]3c4[nH]c(c[nH+]4)c5cccc(c5)F,ORD-MCULE-7952817885_1
c1ccc2c(c1)c(c[nH]2)CCCC(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)[O-],ORD-MCULE-9860582114_1
c1ccc2c(c1)c(c([nH]2)c3ccc(cc3)F)SCCNC(=O)c4ccc(cc4)n5c(ccc5O)O,ORD-MCULE-8115904674_1
c1ccc2c(c1)c3c(n(c2=O)NC(=O)Cc4[nH]nc(n4)c5ccccn5)-c6ccccc6C3=O,ORD-MCULE-1087797516_1
c1cc2cccc3c2c(c1)C(=O)N(C3=O)CC4CCN(CC4)S(=O)(=O)c5cccc6c5nccc6,ORD-MCULE-4940228361_1
c1cc2c(cc1F)cc([nH]2)C(=O)N3CC[C@@H]4[C@H](C3)CCC(=O)N4CC[NH3+],ORD-MCULE-5223569619_1
COc1cccc(c1OC)C(=O)N2CCN(CC2)S(=O)(=O)c3cc4c5c(c3)CCN5C(=O)CC4,ORD-MCULE-6828929379_1
COc1ccc2cc([nH]c2c1)C(=O)N3CCC(CC3)c4cc([nH]n4)C(=O)NCC(F)(F)F,ORD-MCULE-2618908448_1
Cn1c(ccc1)c2n[nH]c(c2)C(=O)N[C@H]3C[C@H](C3)c4nc([nH]c(=O)c4)N,ORD-MCULE-2806002206_1
C[C@@H]1C[NH+](C[C@@H](O1)C)C2CC[NH+](CC2)Cc3ccc(s3)c4ccn[nH]4,ORD-MCULE-7696590232_1
CC(C)C[C@@H](C(=O)N)NC(=O)c1csc2n1cc([nH+]2)c3cccc(c3)C(F)(F)F,ORD-MCULE-9635688656_1
CC(C)Cc1cc([nH]n1)C(=O)Nc2cccc(c2)n3c(c(cn3)C(=O)[O-])C(F)(F)F,ORD-MCULE-2169042463_2
CC[C@]12C[C@@H]3C[C@](C1)(C[C@@](C3)(C2)O)C(=O)NCC[NH+]4CCOCC4,ORD-MCULE-9531275920_1
Cc1cc(n[nH]1)C[C@@H]2CN(C[C@@H]2O)C(=O)Cc3c([nH]c4c3cc(cc4)F)C,ORD-MCULE-7452489759_1
Cc1cc([nH]n1)C[C@@H]2CN(C[C@@H]2O)C(=O)Cc3c([nH]c4c3cc(cc4)F)C,ORD-MCULE-7452489759_2
Cc1ccc(cc1)CN(CCc2c[nH]c3c2cccc3)C(=O)CN(C4CC4)C(=O)c5ccccc5Cl,ORD-MCULE-9466928660_1
Cc1cc(c2cc(ccc2n1)F)C(=O)N[C@@H]3C[C@H]4CO[C@H](C[N@H+]4C3)CCO,ORD-MCULE-4210581360_1
Cc1ccc2c(c1)c(c[nH]2)C[NH+]3CCC(CC3)[NH+]4C[C@H](O[C@H](C4)C)C,ORD-MCULE-4194381360_1
Cc1c2cc(ccc2[nH]c1C(=O)N3C[C@H]4C[C@@H]([C@@H](C[C@H]4C3)O)O)F,ORD-MCULE-7272550771_1
